city_id,pm25,pm10,no2,o3,temperature,humidity,wind_speed,health_risk
CityA,54.46655639496841,164.21255605973153,23.430625388590112,35.58124013083395,29.140028195247474,92.74211965906491,8.805040002311108,1
CityC,43.33322841224139,121.78008329276946,29.789175863234433,37.61769726263774,21.404456891858132,56.62455848191531,9.700324043711637,1
CityC,88.2354196247985,91.35221945546694,70.5487353500812,48.56415517826335,29.97359860985303,34.740508083600844,3.9247122646783144,1
CityB,74.51230104762227,127.65449016446445,33.808838586676764,37.60319315759424,27.09588356612241,52.939842484627164,6.157747054632408,1
CityB,42.68980657433474,157.68920070271344,58.49300187080071,24.148141474007154,37.95807843413381,43.66668789182074,9.559039101547931,1
CityB,99.1085761998461,160.97407159439862,32.97009235780303,33.92272526650548,28.670360999032322,40.81617454972555,7.747316712759251,1
CityC,93.93462816731702,102.8129549170162,53.33258229309988,36.26244266063318,32.7995264919552,58.01706873613665,8.563049405103907,1
CityC,69.20734950183105,132.6149158450956,53.53737483336771,20.0528272596408,27.813192641892826,48.76591571584507,5.5505187328574195,1
CityB,71.2600398162516,67.64886782056176,54.28885761928067,27.150691813568223,27.17975450754651,39.95580631366007,8.365840920414865,1
CityC,94.1117822602747,159.39800412023405,45.81741013013438,41.00391824055466,33.153131294793205,50.09195214825483,8.355637674775208,1
CityB,115.71084259256199,88.66764973099745,60.66049868171727,11.765072649504138,29.681582261056853,65.9795692840741,4.458694940344284,1
CityB,71.51620369672025,151.4102143828619,45.67530954029092,17.49571454959406,26.470445290701996,74.12834413185392,9.927649534041771,1
CityA,99.64065479024433,74.02781690439353,65.7029459401042,28.235929463716722,26.439582661508023,22.941521736180206,2.8998051592460934,1
CityB,96.95600651253798,161.2566362573603,15.7012029521735,33.536795955057045,28.76760518281291,48.93597827342916,8.552714241793051,1
CityA,106.37921878126929,132.8734076009108,45.224293715002275,16.42367555051093,20.300385363780805,52.17313589050591,13.296778081476502,1
CityB,81.17927596230396,88.74569217532215,44.249853888035,28.732107483340588,20.00340373702911,31.349599555447362,10.041651613457248,1
CityC,52.630234578009265,147.654255243221,25.952202312917635,41.53768539088567,34.977841526610526,52.605885339186024,10.022897738111313,1
CityA,66.12502540400092,96.38553232778676,48.69376332645607,30.686514570742837,38.050895647019985,57.95991219080055,5.307719975153946,1
CityC,90.28560397344944,149.98220149780514,17.64875986635073,39.390889436311305,18.49782279112884,65.37669090561981,13.307186159458581,1
